Country Name,Country Code,Indicator Name,Indicator Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,34.56640719,,,,,34.42116338,,,,,34.35679688,,,,,33.83616943,,,,,33.73751384,34.31820821,34.81603805,34.67049231,34.04127093,35.74922461,35.51494314,35.51298818,,,,
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,65.48679165,,,,,65.17951271,,,,,64.922462,,,,,64.52268271,,,,,65.24559168,66.83572711,66.02317421,61.36674452,59.01033025,61.2526558,56.28704672,56.91080835,,,,
Africa Western and Central,AFW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,58.07963258,,,,,56.11179666,,,,,55.34709194,,,,,48.72238236,,,,,44.83127013,44.33968282,47.24374209,42.71854292,41.95220544,60.34263676,57.45888916,58.06448224,,,,
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,36.44811599,,,,,35.60290817,,,,,36.18296788,,,,,34.96291205,,,,,33.78724719,33.10419463,33.41549506,34.66392257,32.97402504,32.72987314,31.78538881,32.38850491,,,,
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,22.71866324,,,,,22.02921828,,,,,21.99824816,,,,,21.57525796,,,,,21.27782812,22.77253665,20.57825918,19.93851711,18.88395497,19.51253962,18.18993375,18.20060252,,,,
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,14.11874161,,,,,13.93686693,,,,,12.59401471,,,,,12.96137804,,,,,12.8071975,13.27350555,12.40705303,11.81367331,10.83041825,11.46217847,10.25583443,10.30762139,,,,
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,53.30026609,,,,,52.54340838,,,,,53.06307635,,,,,52.39524948,,,,,53.7870016,52.65234123,53.29748197,54.05414827,52.58386059,60.40681308,58.76412484,58.68747494,,,,
United Arab Emirates,ARE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,39.82462869,,,,,39.77842718,,,,,39.69880052,,,,,38.98906239,,,,,38.98006849,39.1934301,39.27712811,39.6081551,37.98342106,42.33499,40.52210348,40.91750982,,,,
Argentina,ARG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,16.22053017,,,,,16.84606475,,,,,16.78094792,,,,,16.40308536,,,,,16.85910062,17.38298213,16.13507182,15.59737515,14.46698041,14.6316259,13.75144403,13.31183395,,,,
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,36.8607211,,,,,35.12094162,,,,,36.79644697,,,,,37.06872924,,,,,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264,32.22716773,32.52811834,,,,
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,12.47908266,,,,,12.47908266,,,,,15.21466797,,,,,15.23784168,,,,,15.07272173,15.39064186,14.34415015,14.12722552,13.31699203,13.0193901,12.38272987,12.47382024,,,,
Antigua and Barbuda,ATG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,22.40856353,,,,,22.45159506,,,,,21.97611804,,,,,22.13432961,,,,,22.52887611,23.1478617,21.47105044,20.73538507,19.72558362,19.69638779,18.46093032,18.62234285,,,,
Australia,AUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,10.41185463,,,,,10.42639658,,,,,10.84372366,,,,,10.59713361,,,,,10.6188794,11.04726492,10.53708999,9.98768389,9.492978752,9.320015289,8.614508924,8.550324401,,,,
Austria,AUT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,16.86668825,,,,,15.70612581,,,,,15.35536282,,,,,15.59206265,,,,,15.14913995,15.57337093,14.28233205,14.08161348,13.37922794,13.54109517,12.59681605,12.47796673,,,,
Azerbaijan,AZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,23.94291482,,,,,23.39142886,,,,,22.880772,,,,,22.86570599,,,,,23.0476012,23.6298688,22.18081034,22.27878046,20.71006751,21.41412281,20.20815664,19.92866362,,,,
Burundi,BDI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,41.24888833,,,,,40.0095359,,,,,40.95578012,,,,,40.14781299,,,,,38.38116825,38.23619121,41.01132776,39.97107204,39.38755864,38.43088048,38.65322349,38.89626795,,,,
Belgium,BEL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,17.58749643,,,,,16.49606572,,,,,15.66245122,,,,,15.43635146,,,,,16.00931923,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751,12.88651847,,,,
Benin,BEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,40.2201361,,,,,38.07847163,,,,,39.77629324,,,,,34.3288089,,,,,32.39296916,32.58084623,31.99200044,31.44329865,29.66045567,40.47068263,38.44770366,38.99995876,,,,
Burkina Faso,BFA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,46.01466126,,,,,45.10893352,,,,,44.88311167,,,,,39.33511519,,,,,37.49132872,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291,42.93559251,,,,
Bangladesh,BGD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,61.59562963,,,,,61.80314399,,,,,63.0363418,,,,,68.87354591,,,,,70.76499566,70.2105489,70.79390882,65.64508289,68.3953774,66.96574924,60.12627467,60.84578458,,,,
Bulgaria,BGR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,27.55988096,,,,,25.49281015,,,,,24.08980882,,,,,23.26730013,,,,,22.75619549,24.30032702,22.64465578,20.99963709,20.74356996,20.77642742,19.28301303,19.14913234,,,,
Bahrain,BHR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,68.15876158,,,,,68.12334942,,,,,67.95778934,,,,,64.58727578,,,,,65.63088097,63.73249929,70.28748254,67.79467818,62.75854371,72.60467743,69.86418236,70.81620768,,,,
"Bahamas, The",BHS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,21.01992374,,,,,21.2866269,,,,,21.31820066,,,,,21.06635652,,,,,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049,,,,
Bosnia and Herzegovina,BIH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,30.35255781,,,,,29.33961391,,,,,33.17226018,,,,,33.77212107,,,,,32.30015609,34.19186648,31.77325971,30.44623075,28.77732513,29.62283839,27.59446709,27.74766896,,,,
Belarus,BLR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,24.58584826,,,,,22.656887,,,,,22.65026613,,,,,22.87190055,,,,,23.31940958,22.91114578,21.64637226,20.59045954,19.76605366,20.07627636,18.87823952,18.76557991,,,,
Belize,BLZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,27.42980234,,,,,27.12519252,,,,,27.84143983,,,,,28.29257873,,,,,28.2730542,28.80044628,27.40912213,27.28443966,24.42114809,25.21682566,23.06568424,23.01189211,,,,
Bermuda,BMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,11.74975934,,,,,11.69101106,,,,,14.80544275,,,,,14.77558692,,,,,14.64738151,14.84311292,13.97908263,13.47885095,12.80641477,12.41796108,11.65994362,11.64635919,,,,
Bolivia,BOL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,23.95267949,,,,,24.67257239,,,,,26.25444139,,,,,29.395643,,,,,29.5728099,27.90420439,26.39024388,26.09046897,24.81882932,22.47639992,21.3866041,21.5689866,,,,
Brazil,BRA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,15.14386144,,,,,15.4128569,,,,,15.77348119,,,,,15.59592573,,,,,15.95528506,15.91279799,15.28545576,14.60990092,13.98993477,13.59465562,12.65867601,12.70662947,,,,
Barbados,BRB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,28.21252173,,,,,28.2458825,,,,,28.47945619,,,,,28.482801,,,,,28.21681441,29.30348967,27.03352956,26.23023054,25.18301447,24.68624082,23.45919984,23.0801758,,,,
Brunei Darussalam,BRN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,6.732298222,,,,,6.839568343,,,,,6.884513524,,,,,7.24439177,,,,,7.417004403,7.366187122,7.570822949,6.709489683,6.180830115,6.484179774,5.927600072,5.903065468,,,,
Bhutan,BTN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,40.20596907,,,,,40.07507496,,,,,39.74957882,,,,,43.01963566,,,,,43.96188317,43.07170329,42.93227289,41.88190701,40.83967373,39.81863873,37.22436394,37.9265032,,,,
Botswana,BWA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,25.43543083,,,,,24.98630892,,,,,25.30182437,,,,,25.07372693,,,,,25.72472072,24.59211459,24.85403894,24.87425931,24.15127779,24.33025796,23.63126742,23.09438618,,,,
Central African Republic,CAF,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,53.28715609,,,,,53.40425591,,,,,51.57214353,,,,,52.89663351,,,,,51.53331961,51.22953137,53.35883384,50.87491368,49.35636376,58.32609851,56.98542248,56.82849738,,,,
Canada,CAN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,8.225863908,,,,,8.103930599,,,,,8.280983564,,,,,8.495469137,,,,,8.384457262,8.62446106,8.107410495,7.791636125,7.428419864,7.151582145,6.549074761,6.428383133,,,,
Central Europe and the Baltics,CEB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,24.81804606,,,,,22.91582375,,,,,21.55990515,,,,,21.60903966,,,,,21.98802866,21.90983004,20.20362489,19.22537578,18.60919623,18.9941038,17.64108764,17.63329211,,,,
Switzerland,CHE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,14.22837266,,,,,13.37056081,,,,,12.69076406,,,,,12.861816,,,,,12.92221973,13.04922122,12.26138801,11.82005499,11.38910719,11.16525468,10.34263047,10.3031001,,,,
Channel Islands,CHI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,24.67605657,,,,,24.94324153,,,,,26.16859477,,,,,25.52731698,,,,,25.89229169,27.24586707,25.0471553,23.9366936,22.86825181,22.56979255,20.87687041,21.03629906,,,,
China,CHN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,57.76500664,,,,,58.6601588,,,,,60.70483932,,,,,66.17450389,,,,,69.47957041,70.54202883,63.82701684,65.51455022,59.76736751,59.06342246,52.21132204,52.66459583,,,,
Cote d'Ivoire,CIV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,25.87320064,,,,,24.85169224,,,,,25.26349351,,,,,21.8288118,,,,,21.617705,22.59307255,22.49440447,21.30554316,20.90017764,27.68749396,26.67470411,25.88626634,,,,
Cameroon,CMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,75.0066749,,,,,72.5750131,,,,,70.82948282,,,,,63.45308442,,,,,59.29340315,58.07690148,62.776697,58.18633815,56.71530558,77.05174298,73.20529127,72.79309622,,,,
"Congo, Dem. Rep.",COD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,43.2331345,,,,,43.48303483,,,,,44.76174457,,,,,42.04343872,,,,,41.39803933,41.49328795,43.03677157,44.49576095,42.5494471,44.93118592,45.49950018,44.9092636,,,,
"Congo, Rep.",COG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,46.68716073,,,,,42.66256501,,,,,43.59878521,,,,,42.68905182,,,,,42.00909211,44.15559345,43.48998719,46.12663732,45.85281627,44.14769514,45.7110424,46.63822028,,,,
Colombia,COL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,20.38351541,,,,,20.01323703,,,,,20.05341997,,,,,21.28477536,,,,,21.49784542,21.36777875,20.53663622,19.22334802,18.34420526,17.30028428,16.58060037,16.52721022,,,,
Comoros,COM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,21.75399127,,,,,21.07742304,,,,,21.54405572,,,,,21.24320643,,,,,20.66635788,21.02016044,21.2526292,21.04796184,21.50207199,20.71555746,20.48272773,20.5468246,,,,
Cabo Verde,CPV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,36.13872533,,,,,36.36461069,,,,,36.62812416,,,,,30.2624091,,,,,27.59644067,31.64177817,32.94099303,32.08584342,31.62108111,38.63361366,33.39233075,34.7787001,,,,
Costa Rica,CRI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,18.30876432,,,,,18.56164026,,,,,19.41210209,,,,,19.65730721,,,,,19.27295272,19.70213293,19.33512768,18.34151711,17.54363411,16.87928994,15.65581227,15.7259203,,,,
Caribbean small states,CSS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,22.57965309,,,,,22.61157589,,,,,22.7258502,,,,,23.0458473,,,,,22.88004351,23.60444962,22.17649999,21.45641444,19.96654049,20.08737563,19.10237732,19.00983168,,,,
Cuba,CUB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,23.79235164,,,,,24.25965174,,,,,24.1373679,,,,,24.00991936,,,,,23.93329773,24.78731963,23.23978714,22.85074328,21.29623433,20.86409957,19.73784135,19.7060474,,,,
Curacao,CUW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,20.9065766,,,,,20.5172218,,,,,20.18499397,,,,,19.7180449,,,,,20.08186599,20.09096399,19.22484321,18.68454574,18.29352737,19.10134763,16.9580216,17.2944062,,,,
Czechia,CZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,24.40361819,,,,,22.12133187,,,,,20.43670674,,,,,19.94659258,,,,,20.67687047,20.08124665,18.74317608,17.996287,17.39121549,17.41645169,16.1005837,16.07124535,,,,
Germany,DEU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,17.01652364,,,,,15.62537022,,,,,14.90393488,,,,,14.53520844,,,,,15.18949496,14.66422844,13.57764226,13.19191946,12.75122057,12.82609758,11.93781112,12.02876736,,,,
Djibouti,DJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,40.87716559,,,,,41.22401354,,,,,40.98010856,,,,,39.17294068,,,,,38.24086927,40.44183546,39.94282079,40.10377303,41.25972754,45.95080851,45.86887513,45.5496176,,,,
Dominica,DMA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,23.34142911,,,,,22.86565017,,,,,22.9554165,,,,,23.56283597,,,,,23.74074619,24.27612298,22.21579925,22.15106827,21.01030747,20.68878863,19.98814835,19.49315376,,,,
Denmark,DNK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,13.25493039,,,,,12.66754747,,,,,12.41693942,,,,,12.07842801,,,,,11.92914817,12.66233138,11.11552501,10.82027884,11.06670453,10.65728566,10.09597196,10.02965344,,,,
Dominican Republic,DOM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,15.44407366,,,,,15.73914006,,,,,16.4531496,,,,,16.58544537,,,,,16.87446546,17.29977986,16.15283991,15.39695063,14.1880737,14.85822076,13.69022772,13.72632115,,,,
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,36.93025771,,,,,36.45658418,,,,,37.5360503,,,,,35.85882651,,,,,33.63582026,33.83404774,33.3668262,34.24532791,35.56391718,36.08916357,39.85327385,38.8840107,,,,
East Asia & Pacific (excluding high income),EAP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,48.41342083,,,,,48.88107613,,,,,50.03086244,,,,,53.90314623,,,,,55.84497587,56.39113556,51.66182022,52.47879762,48.16418093,47.42244431,42.34333133,42.58723899,,,,
Early-demographic dividend,EAR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,56.55326998,,,,,57.26898884,,,,,58.15413079,,,,,61.32758314,,,,,64.28868595,64.85590519,60.37999075,61.40095108,60.00273524,60.62223957,59.87864306,60.36830737,,,,
East Asia & Pacific,EAS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,44.9163042,,,,,45.44394965,,,,,46.58545672,,,,,50.14503124,,,,,51.91201129,52.42434478,48.08143362,48.87065935,44.89937826,44.2748827,39.56976542,39.80278724,,,,
Europe & Central Asia (excluding high income),ECA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,27.64493857,,,,,26.57338687,,,,,26.27225525,,,,,26.17838562,,,,,27.12867987,26.85383048,26.01909465,25.62091636,24.76754714,25.93119903,24.82734181,24.94064033,,,,
Europe & Central Asia,ECS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,21.92867827,,,,,20.86727275,,,,,20.33548961,,,,,20.1538476,,,,,20.58349009,20.57529779,19.50065956,19.08015459,18.3916393,19.0006987,18.00995933,18.08347489,,,,
Ecuador,ECU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,18.42443364,,,,,18.48500925,,,,,18.70026501,,,,,19.91466892,,,,,19.97918812,19.321995,19.55771048,18.1186093,16.23418751,15.69970761,14.98157801,14.88610066,,,,
"Egypt, Arab Rep.",EGY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,75.47526578,,,,,72.33836024,,,,,73.26431954,,,,,74.03844104,,,,,77.44661885,70.78635638,72.79056861,76.21365354,76.55960126,88.21338765,88.1485004,86.99945205,,,,
Euro area,EMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,16.78425794,,,,,15.86456236,,,,,15.34217129,,,,,15.13180153,,,,,15.18741758,15.36638623,14.15750083,13.78814167,13.22455703,13.43064457,12.46631262,12.52500117,,,,
Eritrea,ERI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,46.9213334,,,,,46.3436351,,,,,46.37292994,,,,,47.11026453,,,,,45.2271386,45.25744675,46.13384645,47.62781596,44.37494629,49.82891214,48.67093668,48.03019868,,,,
Spain,ESP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,12.21132253,,,,,11.9453955,,,,,11.77420863,,,,,11.56902518,,,,,11.3493291,12.03799789,11.14962332,10.74258206,10.07458883,10.44910241,9.704138553,9.697927863,,,,
Estonia,EST,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,9.051927283,,,,,8.578045915,,,,,8.227386728,,,,,8.457242673,,,,,8.519848763,8.442558919,7.810698651,7.482813578,7.705552572,7.003727673,6.821448031,6.732124015,,,,
Ethiopia,ETH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,35.80074932,,,,,35.83580493,,,,,35.53396675,,,,,34.35100758,,,,,35.63414541,36.31794195,35.97384213,35.88420536,35.04359745,38.85860469,39.24503758,38.97873776,,,,
European Union,EUU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,18.56617065,,,,,17.38389257,,,,,16.64126921,,,,,16.41883365,,,,,16.5022138,16.63120853,15.31009149,14.79927953,14.2500361,14.47106656,13.43167628,13.46590686,,,,
Fragile and conflict affected situations,FCS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,47.28608736,,,,,46.76912002,,,,,46.50469299,,,,,44.4101986,,,,,43.29244715,43.36933242,44.56095158,42.4362599,41.0703793,50.57521458,48.64106335,48.96253951,,,,
Finland,FIN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,7.412718231,,,,,7.232851604,,,,,7.093878711,,,,,7.142454436,,,,,7.190331396,7.283699708,6.601133581,6.278689198,6.468639868,6.063834353,5.893757483,5.861331001,,,,
Fiji,FJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,13.06679233,,,,,12.95578021,,,,,13.13845363,,,,,12.90249547,,,,,13.53381346,13.83646142,12.85205328,12.14461761,11.92289283,11.64194513,11.05934316,10.8401599,,,,
France,FRA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,15.84966725,,,,,15.27350321,,,,,14.72301795,,,,,14.70450609,,,,,14.84562127,14.87801926,13.83475371,13.5943087,12.28970307,12.74570798,11.85518422,11.81496362,,,,
Faroe Islands,FRO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,14.01098216,,,,,14.07006258,,,,,14.12448447,,,,,14.00630093,,,,,13.7492452,13.7316521,12.97443872,12.74251533,11.86686885,11.72598465,11.13451107,11.28339944,,,,
Gabon,GAB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,42.91521481,,,,,42.84732106,,,,,42.58917115,,,,,39.97835312,,,,,40.27757856,41.13028375,40.8140906,40.72566252,41.31956969,44.09590117,43.72065291,44.38554846,,,,
United Kingdom,GBR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,13.50818671,,,,,13.00544434,,,,,12.61822928,,,,,12.53789689,,,,,12.29910815,12.84799901,11.81449494,11.61890149,10.80055978,10.75487287,10.50466684,10.47269039,,,,
Georgia,GEO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,26.52648592,,,,,25.27307039,,,,,25.27380103,,,,,25.62728402,,,,,26.10123773,26.78360332,25.00284928,23.91020353,22.96670742,24.25264627,21.82963618,22.19605462,,,,
Ghana,GHA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,35.59497922,,,,,34.75965465,,,,,35.03722259,,,,,26.80667242,,,,,27.36828359,28.21169897,28.89742723,27.81534006,25.8895233,34.68190071,36.25265622,34.7135141,,,,
Gibraltar,GIB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,24.69337283,,,,,24.18143289,,,,,24.03487457,,,,,22.44512582,,,,,21.97102786,22.44535934,22.98996509,21.25856145,21.19667275,26.94288524,24.77771417,26.0624902,,,,
"Gambia, The",GMB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,35.29382272,,,,,34.77638077,,,,,34.60088048,,,,,30.28366896,,,,,30.20126341,29.26492223,30.72906478,29.80467273,30.62189539,36.30538082,32.61530208,33.98263855,,,,
